food_id,food_name_ar,food_name_en,category_path,food_form_code,data_source_code,external_ref,notes
,كوسا,Zucchini,,raw,usda_fdc_sr_legacy,169291,"FDC: Squash, summer, zucchini, includes skin, raw (published 2019-04-01)"
,كوسا,Zucchini,,boiled,usda_fdc_sr_legacy,169292,"FDC: Squash, summer, zucchini, includes skin, cooked, boiled, drained, without salt (published 2019-04-01)"
,باذنجان,Eggplant,,raw,usda_fdc_sr_legacy,169228,"FDC: Eggplant, raw (published 2019-04-01)"
,باذنجان,Eggplant,,boiled,usda_fdc_sr_legacy,169229,"FDC: Eggplant, cooked, boiled, drained, without salt (published 2019-04-01)"
,سبانخ,Spinach,,raw,usda_fdc_sr_legacy,168462,"FDC: Spinach, raw (published 2019-04-01)"
,سبانخ,Spinach,,boiled,usda_fdc_sr_legacy,168463,"FDC: Spinach, cooked, boiled, drained, without salt (published 2019-04-01)"
,جزر,Carrots,,raw,usda_fdc_sr_legacy,170393,"FDC: Carrots, raw (published 2019-04-01)"
,جزر,Carrots,,boiled,usda_fdc_sr_legacy,170394,"FDC: Carrots, cooked, boiled, drained, without salt (published 2019-04-01)"
,ملفوف,Cabbage,,raw,usda_fdc_sr_legacy,169975,"FDC: Cabbage, raw (published 2019-04-01)"
,ملفوف,Cabbage,,boiled,usda_fdc_sr_legacy,169976,"FDC: Cabbage, cooked, boiled, drained, without salt (published 2019-04-01)"
,تفاح,Apple,,raw,usda_fdc_sr_legacy,171688,"FDC: Apples, raw, with skin (Includes foods for USDA's Food Distribution Program) (published 2019-04-01)"
,برتقال,Orange,,raw,usda_fdc_sr_legacy,169097,"FDC: Oranges, raw, all commercial varieties (published 2019-04-01)"
,موز,Banana,,raw,usda_fdc_sr_legacy,173944,"FDC: Bananas, raw (published 2019-04-01)"
,عصير ليمون,Lemon juice,,raw,usda_fdc_sr_legacy,167747,"FDC: Lemon juice, raw (published 2019-04-01)"
,تمر,Dates,,dried,usda_fdc_sr_legacy,168191,"FDC: Dates, medjool (published 2019-04-01)"
,لحم غنم مفروم,Ground lamb,,raw,usda_fdc_sr_legacy,174370,"FDC: Lamb, ground, raw (published 2019-04-01)"
,لحم غنم مفروم,Ground lamb,,grilled,usda_fdc_sr_legacy,172544,"FDC: Lamb, ground, cooked, broiled (published 2019-04-01)"
,بيض,Egg,,raw,usda_fdc_sr_legacy,171287,"FDC: Egg, whole, raw, fresh (published 2019-04-01)"
,بيض,Egg,,boiled,usda_fdc_sr_legacy,173424,"FDC: Egg, whole, cooked, hard-boiled (published 2019-04-01)"
,لبن/زبادي,Yogurt,,as_sold,usda_fdc_sr_legacy,171284,"FDC: Yogurt, plain, whole milk (published 2019-04-01)"
,زيت زيتون,Olive oil,,as_sold,usda_fdc_sr_legacy,171413,"FDC: Oil, olive, salad or cooking (published 2019-04-01)"
